name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[555]",-7.6,0.021,1.3,-9.7,-7.6,-5.4,4034,1871,1.00
"mu[556]",-4.0,0.017,1.1,-5.8,-4.0,-2.2,4088,1896,1.0
"mu[557]",2.9,0.014,0.89,1.5,2.9,4.4,4183,1940,1.0
"mu[558]",-5.5,0.018,1.2,-7.4,-5.5,-3.5,4083,1894,1.00
"mu[559]",7.8,0.016,1.0,6.1,7.8,9.4,4084,1894,1.00
"mu[560]",18,0.027,1.7,15,18,20,3879,1799,1.00
"mu[561]",-16,0.032,2.0,-20,-16,-13,3911,1814,1.00
"mu[562]",-7.3,0.020,1.3,-9.4,-7.3,-5.1,4041,1874,1.00
"mu[563]",-5.7,0.019,1.2,-7.7,-5.7,-3.7,4077,1891,1.00
"mu[564]",12,0.020,1.2,9.7,12,14,3968,1840,1.00
"mu[565]",15,0.023,1.5,13,15,17,3910,1813,1.00
"mu[566]",5.2,0.014,0.92,3.7,5.2,6.8,4147,1924,1.00
"mu[567]",17,0.027,1.7,15,17,20,3881,1800,1.00
"mu[568]",13,0.022,1.4,11,13,16,3935,1825,1.00
"mu[569]",9.8,0.018,1.1,7.9,9.8,12,4019,1864,1.00
"mu[570]",11,0.019,1.2,9.0,11,13,3988,1850,1.00
"mu[571]",8.8,0.017,1.1,7.0,8.8,11,4051,1879,1.00
"mu[572]",5.2,0.014,0.92,3.7,5.2,6.8,4147,1923,1.00
"mu[573]",11,0.019,1.2,9.3,11,13,3978,1845,1.00
"mu[574]",-5.5,0.019,1.2,-7.4,-5.5,-3.6,4083,1894,1.00
"mu[575]",-2.8,0.016,1.0,-4.5,-2.8,-1.1,4138,1919,1.0
"mu[576]",15,0.024,1.5,13,15,18,3905,1811,1.00
"mu[577]",3.0,0.014,0.89,1.6,3.0,4.5,4182,1939,1.0
"mu[578]",10,0.018,1.1,8.2,10,12,4010,1860,1.00
"mu[579]",-12,0.026,1.6,-14,-12,-9.0,3965,1839,1.00
"mu[580]",-1.3,0.015,0.97,-2.9,-1.3,0.26,4174,1936,1.0
"mu[581]",1.0,0.014,0.90,-0.44,1.0,2.5,4191,1944,1.0
"mu[582]",1.9,0.014,0.89,0.45,1.9,3.4,4190,1943,1.0
"mu[583]",2.9,0.014,0.89,1.5,2.9,4.4,4183,1940,1.0
"mu[584]",11,0.019,1.2,9.1,11,13,3985,1849,1.00
"mu[585]",7.1,0.015,0.98,5.5,7.1,8.7,4108,1905,1.00
